$uri,Identifier,Title,http://jazz.net/ns/rm/navigation#parent
https://homie.byte.fi:9443/rm/resources/BI_Ewwx0ZFnEe-Oy5UELFqR4Q,384,Main Flow,
https://homie.byte.fi:9443/rm/resources/TX_Ew9mEJFnEe-Oy5UELFqR4Q,385,"<e.g., The launch button is pressed by mission control>",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwx0JFnEe-Oy5UELFqR4Q,385,"<e.g., The launch button is pressed by mission control>",
https://homie.byte.fi:9443/rm/resources/TX_Ew9mEZFnEe-Oy5UELFqR4Q,386,Functions and Purpose,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVipFnEe-Oy5UELFqR4Q,386,Functions and Purpose,
https://homie.byte.fi:9443/rm/resources/TX_Ew-0MJFnEe-Oy5UELFqR4Q,387,Documentation Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrO5FnEe-Oy5UELFqR4Q,387,Documentation Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew-NIJFnEe-Oy5UELFqR4Q,388,Supportability Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrLJFnEe-Oy5UELFqR4Q,388,Supportability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew-NIZFnEe-Oy5UELFqR4Q,389,Environmental Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVmZFnEe-Oy5UELFqR4Q,389,Environmental Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew-NIpFnEe-Oy5UELFqR4Q,390,Safety Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVqJFnEe-Oy5UELFqR4Q,390,Safety Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew-0MZFnEe-Oy5UELFqR4Q,391,Portability Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVo5FnEe-Oy5UELFqR4Q,391,Portability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew_bQJFnEe-Oy5UELFqR4Q,392,Policy and Regulation Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVp5FnEe-Oy5UELFqR4Q,392,Policy and Regulation Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew_bQZFnEe-Oy5UELFqR4Q,393,Security Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrLZFnEe-Oy5UELFqR4Q,393,Security Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExACUpFnEe-Oy5UELFqR4Q,394,References,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVhZFnEe-Oy5UELFqR4Q,394,References,
https://homie.byte.fi:9443/rm/resources/TX_ExACUZFnEe-Oy5UELFqR4Q,395,Interface Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrOJFnEe-Oy5UELFqR4Q,395,Interface Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExACUJFnEe-Oy5UELFqR4Q,396,Performance Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrNJFnEe-Oy5UELFqR4Q,396,Performance Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExApYJFnEe-Oy5UELFqR4Q,397,Maintainability Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVppFnEe-Oy5UELFqR4Q,397,Maintainability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExBQcJFnEe-Oy5UELFqR4Q,398,Performance Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVkZFnEe-Oy5UELFqR4Q,398,Performance Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExBQcpFnEe-Oy5UELFqR4Q,399,General Constraints,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVjZFnEe-Oy5UELFqR4Q,399,General Constraints,
https://homie.byte.fi:9443/rm/resources/TX_ExBQcZFnEe-Oy5UELFqR4Q,400,Specific requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrMpFnEe-Oy5UELFqR4Q,400,Specific requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExApYZFnEe-Oy5UELFqR4Q,401,"Primary, Secondary Actors",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxzZFnEe-Oy5UELFqR4Q,401,"Primary, Secondary Actors",
https://homie.byte.fi:9443/rm/resources/TX_ExB3gZFnEe-Oy5UELFqR4Q,402,"<1. The countdown commences starting (ten, nine, eight, etc.)>",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwx0pFnEe-Oy5UELFqR4Q,402,"<1. The countdown commences starting (ten, nine, eight, etc.)>",
https://homie.byte.fi:9443/rm/resources/TX_ExDFoJFnEe-Oy5UELFqR4Q,403,Introduction,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEEZFnEe-Oy5UELFqR4Q,403,Introduction,
https://homie.byte.fi:9443/rm/resources/TX_ExCekJFnEe-Oy5UELFqR4Q,404,Physical Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVmpFnEe-Oy5UELFqR4Q,404,Physical Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExCekpFnEe-Oy5UELFqR4Q,405,Overview of the Document,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVhpFnEe-Oy5UELFqR4Q,405,Overview of the Document,
https://homie.byte.fi:9443/rm/resources/TX_ExCekZFnEe-Oy5UELFqR4Q,406,Compliance / Regulatory Body Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrLpFnEe-Oy5UELFqR4Q,406,Compliance / Regulatory Body Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExDssJFnEe-Oy5UELFqR4Q,407,Introduction,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVgZFnEe-Oy5UELFqR4Q,407,Introduction,
https://homie.byte.fi:9443/rm/resources/TX_ExB3gJFnEe-Oy5UELFqR4Q,408,Context,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxwpFnEe-Oy5UELFqR4Q,408,Context,
https://homie.byte.fi:9443/rm/resources/TX_ExDFoZFnEe-Oy5UELFqR4Q,409,Functional Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVkJFnEe-Oy5UELFqR4Q,409,Functional Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExDssZFnEe-Oy5UELFqR4Q,410,Purpose of the Document,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEEpFnEe-Oy5UELFqR4Q,410,Purpose of the Document,
https://homie.byte.fi:9443/rm/resources/TX_ExETwJFnEe-Oy5UELFqR4Q,411,Legacy Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrN5FnEe-Oy5UELFqR4Q,411,Legacy Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExETwZFnEe-Oy5UELFqR4Q,412,Goal,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwxw5FnEe-Oy5UELFqR4Q,412,Goal,
https://homie.byte.fi:9443/rm/resources/TX_ExE60JFnEe-Oy5UELFqR4Q,413,Interface Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVlpFnEe-Oy5UELFqR4Q,413,Interface Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExDsspFnEe-Oy5UELFqR4Q,414,"Definitions Acronyms, and Abbreviations",/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEFJFnEe-Oy5UELFqR4Q,414,"Definitions Acronyms, and Abbreviations",
https://homie.byte.fi:9443/rm/resources/TX_ExFh4pFnEe-Oy5UELFqR4Q,415,Intended Use,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrIpFnEe-Oy5UELFqR4Q,415,Intended Use,
https://homie.byte.fi:9443/rm/resources/TX_ExFh4ZFnEe-Oy5UELFqR4Q,416,Specific Requirements (Delete Sections as applicable),/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVj5FnEe-Oy5UELFqR4Q,416,Specific Requirements (Delete Sections as applicable),
https://homie.byte.fi:9443/rm/resources/TX_ExGI8ZFnEe-Oy5UELFqR4Q,417,Scalability Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVlZFnEe-Oy5UELFqR4Q,417,Scalability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExE60ZFnEe-Oy5UELFqR4Q,418,Preconditions,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwxx5FnEe-Oy5UELFqR4Q,418,Preconditions,
https://homie.byte.fi:9443/rm/resources/TX_ExFh4JFnEe-Oy5UELFqR4Q,419,Trigger,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwxz5FnEe-Oy5UELFqR4Q,419,Trigger,
https://homie.byte.fi:9443/rm/resources/TX_ExGwAJFnEe-Oy5UELFqR4Q,420,Overview of the Document,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEFpFnEe-Oy5UELFqR4Q,420,Overview of the Document,
https://homie.byte.fi:9443/rm/resources/TX_ExGwApFnEe-Oy5UELFqR4Q,421,Capability Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrM5FnEe-Oy5UELFqR4Q,421,Capability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExGI8JFnEe-Oy5UELFqR4Q,422,Availability Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVkpFnEe-Oy5UELFqR4Q,422,Availability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExGwAZFnEe-Oy5UELFqR4Q,423,"<e.g., The spacecraft does not reach escape velocity and the mission is aborted>",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxzJFnEe-Oy5UELFqR4Q,423,"<e.g., The spacecraft does not reach escape velocity and the mission is aborted>",
https://homie.byte.fi:9443/rm/resources/TX_ExHXEZFnEe-Oy5UELFqR4Q,424,General Constraints,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEGZFnEe-Oy5UELFqR4Q,424,General Constraints,
https://homie.byte.fi:9443/rm/resources/TX_ExHXEJFnEe-Oy5UELFqR4Q,425,General Description,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEF5FnEe-Oy5UELFqR4Q,425,General Description,
https://homie.byte.fi:9443/rm/resources/TX_ExH-IZFnEe-Oy5UELFqR4Q,426,Documentation Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVoZFnEe-Oy5UELFqR4Q,426,Documentation Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExIlMJFnEe-Oy5UELFqR4Q,427,"<e.g., The spacecraft will reach escape velocity and enter space>",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxypFnEe-Oy5UELFqR4Q,427,"<e.g., The spacecraft will reach escape velocity and enter space>",
https://homie.byte.fi:9443/rm/resources/TX_ExH-IJFnEe-Oy5UELFqR4Q,428,Legal Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrMZFnEe-Oy5UELFqR4Q,428,Legal Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExIlMpFnEe-Oy5UELFqR4Q,429,Scope of the System,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVg5FnEe-Oy5UELFqR4Q,429,Scope of the System,
https://homie.byte.fi:9443/rm/resources/TX_ExJMQZFnEe-Oy5UELFqR4Q,430,Operational Environment,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrI5FnEe-Oy5UELFqR4Q,430,Operational Environment,
https://homie.byte.fi:9443/rm/resources/TX_ExIlMZFnEe-Oy5UELFqR4Q,431,User Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrKJFnEe-Oy5UELFqR4Q,431,User Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExJMQJFnEe-Oy5UELFqR4Q,432,Voluntary/Organizational Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrPJFnEe-Oy5UELFqR4Q,432,Voluntary/Organizational Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExJzUJFnEe-Oy5UELFqR4Q,433,Scope of the Product,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEE5FnEe-Oy5UELFqR4Q,433,Scope of the Product,
https://homie.byte.fi:9443/rm/resources/TX_ExKaYJFnEe-Oy5UELFqR4Q,434,Purpose of the Document,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVgpFnEe-Oy5UELFqR4Q,434,Purpose of the Document,
https://homie.byte.fi:9443/rm/resources/TX_ExKaYpFnEe-Oy5UELFqR4Q,435,Statutory and Regulatory Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrPZFnEe-Oy5UELFqR4Q,435,Statutory and Regulatory Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExLogJFnEe-Oy5UELFqR4Q,436,<1a. During the countdown the abort button is pressed.>,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwx1JFnEe-Oy5UELFqR4Q,436,<1a. During the countdown the abort button is pressed.>,
https://homie.byte.fi:9443/rm/resources/TX_ExLBcJFnEe-Oy5UELFqR4Q,437,Relation to Current Projects,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuViJFnEe-Oy5UELFqR4Q,437,Relation to Current Projects,
https://homie.byte.fi:9443/rm/resources/TX_ExLBcZFnEe-Oy5UELFqR4Q,438,Model Description,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVjpFnEe-Oy5UELFqR4Q,438,Model Description,
https://homie.byte.fi:9443/rm/resources/TX_ExJzUZFnEe-Oy5UELFqR4Q,439,Relationship to other Systems,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVjJFnEe-Oy5UELFqR4Q,439,Relationship to other Systems,
https://homie.byte.fi:9443/rm/resources/TX_ExKaYZFnEe-Oy5UELFqR4Q,440,Alternate Flows,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwx05FnEe-Oy5UELFqR4Q,440,Alternate Flows,
https://homie.byte.fi:9443/rm/resources/TX_ExMPkJFnEe-Oy5UELFqR4Q,441,Environmental Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrMJFnEe-Oy5UELFqR4Q,441,Environmental Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExMPkZFnEe-Oy5UELFqR4Q,442,Health and Safety Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrL5FnEe-Oy5UELFqR4Q,442,Health and Safety Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExLogZFnEe-Oy5UELFqR4Q,443,Operational Scenarios,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrJZFnEe-Oy5UELFqR4Q,443,Operational Scenarios,
https://homie.byte.fi:9443/rm/resources/TX_ExMPkpFnEe-Oy5UELFqR4Q,444,General Description,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVh5FnEe-Oy5UELFqR4Q,444,General Description,
https://homie.byte.fi:9443/rm/resources/TX_ExM2oJFnEe-Oy5UELFqR4Q,445,Human Factors,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrNZFnEe-Oy5UELFqR4Q,445,Human Factors,
https://homie.byte.fi:9443/rm/resources/TX_ExNdsJFnEe-Oy5UELFqR4Q,446,Stakeholder Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrJ5FnEe-Oy5UELFqR4Q,446,Stakeholder Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExOEwJFnEe-Oy5UELFqR4Q,447,User Acceptance Testing Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrOpFnEe-Oy5UELFqR4Q,447,User Acceptance Testing Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExM2oZFnEe-Oy5UELFqR4Q,448,General Capabilities,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEGJFnEe-Oy5UELFqR4Q,448,General Capabilities,
https://homie.byte.fi:9443/rm/resources/TX_ExNdsZFnEe-Oy5UELFqR4Q,449,Success End Condition,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxyZFnEe-Oy5UELFqR4Q,449,Success End Condition,
https://homie.byte.fi:9443/rm/resources/TX_ExOEwZFnEe-Oy5UELFqR4Q,450,References,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqEFZFnEe-Oy5UELFqR4Q,450,References,
https://homie.byte.fi:9443/rm/resources/TX_ExOEwpFnEe-Oy5UELFqR4Q,451,Logical Data Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVnJFnEe-Oy5UELFqR4Q,451,Logical Data Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExPS4JFnEe-Oy5UELFqR4Q,452,Assumptions and Dependencies,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrJpFnEe-Oy5UELFqR4Q,452,Assumptions and Dependencies,
https://homie.byte.fi:9443/rm/resources/TX_ExPS4ZFnEe-Oy5UELFqR4Q,453,Acceptance Testing Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVoJFnEe-Oy5UELFqR4Q,453,Acceptance Testing Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExP58pFnEe-Oy5UELFqR4Q,454,Verification Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVn5FnEe-Oy5UELFqR4Q,454,Verification Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExP58ZFnEe-Oy5UELFqR4Q,455,Quality Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVpJFnEe-Oy5UELFqR4Q,455,Quality Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExP58JFnEe-Oy5UELFqR4Q,456,Security Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVopFnEe-Oy5UELFqR4Q,456,Security Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExQhAJFnEe-Oy5UELFqR4Q,457,<Use Case Name>,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxwZFnEe-Oy5UELFqR4Q,457,<Use Case Name>,
https://homie.byte.fi:9443/rm/resources/TX_ExRvIZFnEe-Oy5UELFqR4Q,458,Operator Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrKZFnEe-Oy5UELFqR4Q,458,Operator Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExQhAZFnEe-Oy5UELFqR4Q,459,Resource Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVnpFnEe-Oy5UELFqR4Q,459,Resource Requirements,
https://homie.byte.fi:9443/rm/resources/TX_ExRvIJFnEe-Oy5UELFqR4Q,460,User/Operator/Maintainence Needs,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrIZFnEe-Oy5UELFqR4Q,460,User/Operator/Maintainence Needs,
https://homie.byte.fi:9443/rm/resources/TX_ExRIEJFnEe-Oy5UELFqR4Q,461,User Characteristics,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrIJFnEe-Oy5UELFqR4Q,461,User Characteristics,
https://homie.byte.fi:9443/rm/resources/TX_ExRIEZFnEe-Oy5UELFqR4Q,462,Relationship to Predecessor and Successor Projects,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuViZFnEe-Oy5UELFqR4Q,462,Relationship to Predecessor and Successor Projects,
